location,height,shoulder,waist,hip,gender,type,code,name,color,description,search,sizing,quantity,satisfaction,price,profit,review,buy
bugis,166.29,16.6,14.7,18.7,female,dress,dress183,JASMINE RUFFLES FLORAL TIE-STRING SLIT MAXI DRESS,floral,"Made From Polyester Blend Material, Back Zipper, Slightly Stretchable Straps, ",,m,0,1,45.9,0,,no
somerset,152.5,0,12.3,18.7,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,beige,"Soft knit, Stretchable, Functional buttons",,s,4,1,30.9,123.6,Dress them up or down,yes
bugis,171.34,0,13.7,20.2,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,blush,"Soft knit, Stretchable, Functional buttons",,l,4,2,30.9,123.6,"Great length, true to size despite initial snug",yes
bugis,162.1,16.9,14.8,19.3,female,dress,dress183,ORIANA TOGA RIBBED DRESS,gunmetal,"Cotton rib, Side Slit Detail",,m,0,2,30.9,0,,no
bugis,162.5,15.6,0,0,female,top,top183,ELAINE JERSEY CROPPED PULLOVER ,grey,"Cotton jersery, slight stretch, Non sheer",,m,4,3,35.9,143.6,,yes
bugis,167.76,16.7,14.4,19.3,female,dress,dress183,ANDRELLE PLAID SKORTS DRESS,plaid,"Polyester, Fully lined bodice, Non sheer, Slight stretch, Concealed back zipper, Functional pockets, Adjustable straps",,m,0,,29.9,0,Amazing and it has pockets!!!,no
somerset,183.74,13.9,0,0,female,top,top183,KATIE SWEETHEART BUTTON PUFF SLEEVE TOP,white,"Polyester blend, Fully lined bodice, Non sheer, Stretchable, Sheer sleeve, Elastic arm band, Non-functional buttons",,s,1,1,33.9,33.9,,yes
bugis,169.55,16.8,14.4,18.7,female,dress,dress183,DESIRAE PEARL CHAIN SATIN COWL DRESS,lilac,"Satin, Fully lined, Non sheer, Slight stretch, Concealed back zipper, Functional pockets, Removable chain straps",,m,1,1,33.9,33.9,,yes
somerset,171.43,15.2,0,0,female,top,top183,MAXINE V-NECK LINEN CROP TOP,geometric print,"Made of Linen Material, Comes with Inner Lining, Concealed Back Zipper, Non-functional Buttons",crop,m,4,,29.9,119.6,Beautiful colors & fabric,yes
bugis,165.25,0,14.2,20.8,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,white,"Soft knit, Stretchable, Functional buttons",,l,2,,30.9,61.8,So comfy,yes
somerset,179.79,17.5,0,0,male,top,top183,ELLIOT JERSEY OVERSIZED TEE,pink,"Cotton jersey, Non Sheer, Slight Stretch",,s,1,4,30.9,30.9,Fits weird,yes
somerset,183.46,16.5,14.4,19.4,female,dress,dress183,DESIRAE PEARL CHAIN SATIN COWL DRESS,seafoam,"Satin, Fully lined, Non sheer, Slight stretch, Concealed back zipper, Functional pockets, Removable chain straps",,m,4,5,33.9,135.6,Great dress but not in green,yes
somerset,156.52,13.7,0,0,female,top,top183,KATIE SWEETHEART BUTTON PUFF SLEEVE TOP,blush,"Polyester blend, Fully lined bodice, Non sheer, Stretchable, Sheer sleeve, Elastic arm band, Non-functional buttons",,s,3,5,33.9,101.7,Beautiful,yes
somerset,164.94,0,13.7,19.5,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,beige,"Soft knit, Stretchable, Functional buttons",,m,0,2,30.9,0,Comfy,no
bugis,168.38,16.9,14.2,18.9,female,dress,dress183,BRIELLE BUTTON RIBBED DRESS,grey,"Cotton rib, None, Non sheer,  Stretchable, Functional buttons",,m,0,5,32.9,0,Easy summer dress,no
club street,180.34,14.1,13.6,17.7,female,dress,dress183,MARIE SATIN SLIT MIDI DRESS,gunmental,"Satin, Fully lined bodice, Non sheer, Adjustable straps",,s,2,1,29.9,59.8,Runs a bit large,yes
club street,165.44,0,12.2,18.1,female,bottom,bottom183,AUBREY PIPED SHORTS,latte,"Polyester Blend, Fully Lined, Non sheer, Slight Stretch, Functional pockets, Functional clasp, Functional zipper",,s,3,1,30.9,92.7,,yes
somerset,181,0,12.7,18.6,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,beige,"Soft knit, Stretchable, Functional buttons",,s,0,2,30.9,0,Love these pants!,no
somerset,164.58,14.2,0,0,female,top,top183,CLAUDINE BOXY BLAZER OUTERWEAR TOP,brown,"Polyester blend, None, Non sheer, Slight stretch, Functional buttons",,s,0,4,35.9,0,,yes
somerset,153.95,16.5,14.3,19,female,dress,dress183,ORIANA TOGA RIBBED DRESS,gunmetal,"Cotton rib, Side Slit Detail",,m,0,2,30.9,0,"Sure, if you want to wear a granny nightgown...",no
club street,148.28,0,15.1,21.6,male,bottom,bottom183,JORDAN CUFFED CHINO PANTS,black,"Not stretchable, Functional button, Functional belt loop, Functional zipper, Functional front and back pockets, follow uniqlo sizing",,l,4,4,32.9,131.6,Super comfortable,yes
somerset,156.99,15.7,12.5,17.8,female,dress,dress183,THEA FLUTTER SLEEVE MIDI DRESS ,floral,"Embroidery cotton, Fully lined, Non sheer, No stretch, Concealed back zipper, *Floral placement differs for each piece",,s,0,4,30.9,0,Great dress but cut too low,no
somerset,150.27,17,14.2,18.7,female,dress,dress183,MARIE SATIN SLIT MIDI DRESS,mocha,"Satin, Fully lined bodice, Non sheer, Adjustable straps",,m,0,4,29.9,0,Great dress but not functional,no
somerset,178.62,13.6,0,0,female,top,top183,SAFFRON CROPPED KNIT BUTTON CARDIGAN,white,"Soft knit, Stretchable, Functional buttons",,s,2,4,40.9,81.8,Perfect for work,yes
somerset,159.99,0,12.8,18.4,female,bottom,bottom183,EVERYDAY CONTRAST STITCH DENIM SHORTS,dark denim,"Functional button, Functional belt loop, Functional zipper, Functional front and back pockets, follow uniqlo sizing",,s,0,1,29.9,0,Perfect fit,no
somerset,180.26,16.7,14.6,18.9,female,dress,dress183,MARIE SATIN SLIT MIDI DRESS,mocha,"Satin, Fully lined bodice, Non sheer, Adjustable straps",,m,0,5,29.9,0,Takes 20 minutes to put on,no
club street,156.48,15.3,0,0,female,top,top183,ELAINE JERSEY CROPPED PULLOVER ,gingham,"Cotton jersery, slight stretch, Non sheer",,m,0,5,35.9,0,Dry clean only!,no
somerset,181.73,17.1,14.7,19.3,female,dress,dress183,MARIE SATIN SLIT MIDI DRESS,mocha,"Satin, Fully lined bodice, Non sheer, Adjustable straps",,m,2,1,29.9,59.8,Worth the required piece of fashion tape!,yes
somerset,165.28,14.3,0,0,female,top,top183,ELAINE JERSEY CROPPED PULLOVER ,gingham,"Cotton jersery, slight stretch, Non sheer",gingham,s,0,4,35.9,0,,no
club street,155.66,0,15.9,20.6,male,bottom,bottom183,THOMAS DENIM BASIC BERMS,brown,"Polyester, Fake Pockets, Non-Stretchable",,m,2,2,30.9,61.8,The fabric is heavy,yes
bugis,151.44,13.4,0,0,female,top,top183,LINDSAY HALTER SHEER SLEEVE TOP,navy,"Polyester blend, Fully lined bodice, Non sheer, Stretchable, Sheer sleeve, Elastic arm band, Concealed back zipper",,s,0,2,34.9,0,,no
somerset,174.52,0,13.2,20.1,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,beige,"Soft knit, Stretchable, Functional buttons",,l,4,3,30.9,123.6,,yes
bugis,180.5,0,14.6,20.2,male,bottom,bottom183,THOMAS DENIM BASIC BERMS,beige,"Polyester, Fake Pockets, Non-Stretchable",,m,0,5,30.9,0,(mostly) good,yes
somerset,163.72,0,13.6,20,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,beige,"Soft knit, Stretchable, Functional buttons",,l,0,2,30.9,0,Quality changed,no
club street,160.84,18.3,0,0,male,top,top183,CODY SHORT SLEEVED SHIRT,white,"Polyester, Functional buttons, Functional wrist buttons",,m,0,0,33.9,0,"Pretty, stylish, romantic top",no
somerset,173.5,17.5,0,0,male,top,top183,ELLIOT JERSEY OVERSIZED TEE,beige,"Cotton jersey, Non Sheer, Slight Stretch",,s,2,4,30.9,61.8,Spring is in the air,yes
somerset,183.08,14.6,0,0,female,top,top183,SAFFRON CROPPED KNIT BUTTON CARDIGAN,brown,"Soft knit, Stretchable, Functional buttons",,s,1,3,40.9,40.9,Love it,yes
somerset,165.15,14.1,0,0,female,top,top183,GRETA BUTTON KNIT VEST TOP,white,"Knit, Non sheer, Functional buttons, Tortoise Shell Buttons Differ from Piece to Piece",,s,0,5,31.9,0,,no
somerset,150.33,14.3,13.4,18.4,female,dress,dress183,MARIE SATIN SLIT MIDI DRESS,gunmental,"Satin, Fully lined bodice, Non sheer, Adjustable straps",,s,0,4,29.9,0,Fabulous dress!,no
club street,146.68,13.6,0,0,female,top,top183,LINDSAY HALTER SHEER SLEEVE TOP,maroon,"Polyester blend, Fully lined bodice, Non sheer, Stretchable, Sheer sleeve, Elastic arm band, Concealed back zipper",,s,2,3,34.9,69.8,Flirty and fun,yes
club street,154.79,15.4,0,0,female,top,top183,CELINE HIGH CUT RIBBED TOP,grey,"Cotton Rib, None, Non sheer, Stretchable",top,m,0,5,29.9,0,Even more lovely in person!,yes
somerset,158.38,0,15.8,20.5,male,bottom,bottom183,THOMAS DENIM BASIC BERMS,beige,"Polyester, Fake Pockets, Non-Stretchable",,m,0,3,30.9,0,Tight in the waist,yes
somerset,148.47,0,12.1,18.3,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,beige,"Soft knit, Stretchable, Functional buttons",,s,0,3,30.9,0,I love them!,yes
bugis,184.03,13.9,0,0,female,top,top183,CELINE HIGH CUT RIBBED TOP,black,"Cotton Rib, None, Non sheer, Stretchable",,s,0,3,29.9,0,Off or on the shoulder....,yes
somerset,151.3,19.2,0,0,male,top,top183,PIERRE LONG SLEEVED BUTTON SHIRT,white,"Polyester, Functional buttons, Functional wrist buttons",,l,0,2,35.9,0,Great too but not for women who have a large bust.,no
somerset,148.75,0,12.1,18.7,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,blush,"Soft knit, Stretchable, Functional buttons",,s,0,5,30.9,0,,yes
club street,174.06,17.2,14.1,19,female,dress,dress183,MARIE SATIN SLIT MIDI DRESS,mocha,"Satin, Fully lined bodice, Non sheer, Adjustable straps",,m,1,1,29.9,29.9,Elegant but easy,yes
bugis,147.43,13.5,0,0,female,top,top183,ADORA BASIC PADDED CROP TOP,blue,"Polyester, Fully lined bodice, Slight stretch, Exposed back zipper, Removable padding",,s,2,4,30.9,61.8,Terrible quality of material,yes
somerset,175.22,13.2,0,0,female,top,top183,MAXINE V-NECK LINEN CROP TOP,geometric print,"Made of Linen Material, Comes with Inner Lining, Concealed Back Zipper, Non-functional Buttons",crop,s,2,,29.9,59.8,"Love the color, but not the fit",yes
somerset,151.46,0,12.1,19.4,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,beige,"Soft knit, Stretchable, Functional buttons",,m,1,4,30.9,30.9,Versatile pant,yes
bugis,159.9,16.8,14.7,18.6,female,dress,dress183,AMABEL RUCHED BUTTON SHIRT DRESS,brown,"Polyester, Fully lined, Non sheer, Slight stretch, Concealed back zipper, Functional buttons, Ruched details",,m,0,5,33.9,0,Cute summery print,no
somerset,167.56,0,12.2,18.4,female,bottom,bottom183,PHOEBE RUCHED BUTTON MIDI SKIRT,white,"Polyester, Fully lined, Non sheer, Slight stretch, Concealed back zipper, Functional buttons, Ruched details",,s,2,5,30.9,61.8,So amazing,yes
somerset,181.31,0,11.9,18.6,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,blush,"Soft knit, Stretchable, Functional buttons",,s,0,2,30.9,0,Short shorts!,yes
somerset,183.77,13.7,0,0,female,top,top183,LINDSAY HALTER SHEER SLEEVE TOP,navy,"Polyester blend, Fully lined bodice, Non sheer, Stretchable, Sheer sleeve, Elastic arm band, Concealed back zipper",,s,0,5,34.9,0,This top is the bomb!,no
somerset,154.29,19.7,0,0,male,top,top183,ELLIOT JERSEY OVERSIZED TEE,beige,"Cotton jersey, Non Sheer, Slight Stretch",,l,0,3,30.9,0,Runs very large,no
bugis,176.89,19.2,0,0,male,top,top183,PIERRE LONG SLEEVED BUTTON SHIRT,white,"Polyester, Functional buttons, Functional wrist buttons",,l,0,,35.9,0,,no
somerset,150.13,16.1,12.4,17.5,female,dress,dress183,BRIELLE BUTTON RIBBED DRESS,grey,"Cotton rib, None, Non sheer,  Stretchable, Functional buttons",dress183,s,0,5,32.9,0,,no
somerset,178.93,14.6,0,0,female,top,top183,CLAUDINE BOXY BLAZER OUTERWEAR TOP,latte,"Polyester blend, None, Non sheer, Slight stretch, Functional buttons",,s,3,3,35.9,107.7,"Feminine, flattering, versatile",yes
somerset,172.11,16.7,13.5,17.2,female,dress,dress183,AMABEL RUCHED BUTTON SHIRT DRESS,brown,"Polyester, Fully lined, Non sheer, Slight stretch, Concealed back zipper, Functional buttons, Ruched details",,m,0,,33.9,0,,no
bugis,184.03,14.8,0,0,female,top,top183,ADORA BASIC PADDED CROP TOP,blue,"Polyester, Fully lined bodice, Slight stretch, Exposed back zipper, Removable padding",,s,0,4,30.9,0,,no
club street,156.9,16.6,14.3,19.2,female,dress,dress183,MARIE SATIN SLIT MIDI DRESS,mocha,"Satin, Fully lined bodice, Non sheer, Adjustable straps",,m,0,4,29.9,0,This color is everything!,no
somerset,161.08,16.7,14.6,18.9,female,dress,dress183,DESIRAE PEARL CHAIN SATIN COWL DRESS,lilac,"Satin, Fully lined, Non sheer, Slight stretch, Concealed back zipper, Functional pockets, Removable chain straps",,m,0,5,33.9,0,Not flattering on me...,no
somerset,151.06,18.8,0,0,male,top,top183,ELLIOT JERSEY OVERSIZED TEE,pink,"Cotton jersey, Non Sheer, Slight Stretch",,m,0,1,30.9,0,Pleasantly surprised by this black gem,no
somerset,173.87,20,0,0,male,top,top183,CODY SHORT SLEEVED SHIRT,gunmental,"Polyester, Functional buttons, Functional wrist buttons",,l,0,5,33.9,0,So pretty,no
somerset,174.43,13.5,0,0,female,top,top183,CLAUDINE BOXY BLAZER OUTERWEAR TOP,latte,"Polyester blend, None, Non sheer, Slight stretch, Functional buttons",,s,2,1,35.9,71.8,Easy summer top,yes
club street,171.33,0,12.9,18.3,female,bottom,bottom183,AUBREY PIPED SHORTS,lilac,"Polyester Blend, Fully Lined, Non sheer, Slight Stretch, Functional pockets, Functional clasp, Functional zipper",,s,0,3,30.9,0,Soooo disappointed!,no
somerset,182.47,17.2,14.7,19.3,female,dress,dress183,ESTHER SWEETHEART CHIFFON MIDI DRESS,floral,"Chiffon, Fully lined, Non sheer, No stretch, Concealed back zipper, Concealed front slit zipper, Adjustable straps",,m,0,2,30.9,0,Perfection.,no
bugis,163.75,19.4,0,0,male,top,top183,CODY SHORT SLEEVED SHIRT,gunmental,"Polyester, Functional buttons, Functional wrist buttons",,l,4,5,33.9,135.6,,yes
somerset,179.7,13.8,0,0,female,top,top183,GRETA BUTTON KNIT VEST TOP,white,"Knit, Non sheer, Functional buttons, Tortoise Shell Buttons Differ from Piece to Piece",,s,0,1,31.9,0,Super cute summer top!,no
somerset,151.6,14.3,0,0,female,top,top183,CLAUDINE BOXY BLAZER OUTERWEAR TOP,beige,"Polyester blend, None, Non sheer, Slight stretch, Functional buttons",,s,0,2,35.9,0,,no
somerset,172.5,13.6,0,0,female,top,top183,ADORA BASIC PADDED CROP TOP,matcha,"Polyester, Fully lined bodice, Slight stretch, Exposed back zipper, Removable padding",,s,2,3,30.9,61.8,So lovely,yes
bugis,165.01,14,0,0,female,top,top183,SAFFRON CROPPED KNIT BUTTON CARDIGAN,green,"Soft knit, Stretchable, Functional buttons",,s,1,4,40.9,40.9,Beautiful top,yes
club street,183.45,14.2,0,0,female,top,top183,KATIE SWEETHEART BUTTON PUFF SLEEVE TOP,white,"Polyester blend, Fully lined bodice, Non sheer, Stretchable, Sheer sleeve, Elastic arm band, Non-functional buttons",,s,0,5,33.9,0,Beautiful top!,no
somerset,166.47,19.6,0,0,male,top,top183,CODY SHORT SLEEVED SHIRT,gunmental,"Polyester, Functional buttons, Functional wrist buttons",,l,0,1,33.9,0,"Great top, runs a little short",no
somerset,147.91,17.1,14.2,18.7,female,dress,dress183,BRIELLE BUTTON RIBBED DRESS,grey,"Cotton rib, None, Non sheer,  Stretchable, Functional buttons",,m,0,5,32.9,0,Casual summer dress,no
somerset,170.06,18.1,0,0,male,top,top183,ELLIOT JERSEY OVERSIZED TEE,pink,"Cotton jersey, Non Sheer, Slight Stretch",,m,2,2,30.9,61.8,Buy this!,yes
somerset,155.02,14.8,0,0,female,top,top183,LINDSAY HALTER SHEER SLEEVE TOP,maroon,"Polyester blend, Fully lined bodice, Non sheer, Stretchable, Sheer sleeve, Elastic arm band, Concealed back zipper",,s,2,,34.9,69.8,Summer top,yes
somerset,153.06,19.8,0,0,male,top,top183,PIERRE LONG SLEEVED BUTTON SHIRT,gingham,"Polyester, Functional buttons, Functional wrist buttons",gingham,l,1,2,35.9,35.9,Lovely if you don't have curves!,yes
bugis,168.26,14.1,0,0,female,top,top183,CLAUDINE BOXY BLAZER OUTERWEAR TOP,beige,"Polyester blend, None, Non sheer, Slight stretch, Functional buttons",,s,0,4,35.9,0,,no
somerset,161.06,0,12.7,18.1,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,beige,"Soft knit, Stretchable, Functional buttons",,s,0,1,30.9,0,Really nice,no
bugis,162.61,0,12,18,female,bottom,bottom183,EVERYDAY CONTRAST STITCH DENIM SHORTS,dark denim,"Functional button, Functional belt loop, Functional zipper, Functional front and back pockets, follow uniqlo sizing",,s,0,2,29.9,0,Bigger than my first apartment,no
somerset,156.68,13.3,0,0,female,top,top183,SAFFRON CROPPED KNIT BUTTON CARDIGAN,brown,"Soft knit, Stretchable, Functional buttons",,s,0,3,40.9,0,Sweet and airy,no
somerset,156,0,15.7,20.2,male,bottom,bottom183,THOMAS DENIM BASIC BERMS,brown,"Polyester, Fake Pockets, Non-Stretchable",,m,0,1,30.9,0,"Cute, sweet, flirty, sexy",no
somerset,183.63,13.6,0,0,female,top,top183,GRETA BUTTON KNIT VEST TOP,white,"Knit, Non sheer, Functional buttons, Tortoise Shell Buttons Differ from Piece to Piece",,s,3,1,31.9,95.7,,yes
bugis,172.48,0,14.9,19.1,female,bottom,bottom183,PORTER CARGO JOGGER PANTS,moss,"Slight Stretch, Elastic waistband, Elastic band at leg opening, Functional pockets",,l,2,1,30.9,61.8,Light and tight,yes
somerset,163.99,0,13.5,19.1,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,beige,"Soft knit, Stretchable, Functional buttons",,m,3,5,30.9,92.7,Cute and stylish,yes
somerset,180.6,0,12.1,18,female,bottom,bottom183,PHYLLIS EMBROIDERY EYELET SHORTS,white,"Embroidery cotton, Fully lined, Non sheer, No stretch, Concealed back zipper, *Floral placement differs for each piece",,s,3,1,34.9,104.7,,yes
bugis,176.14,14,0,0,female,top,top183,ADORA BASIC PADDED CROP TOP,blue,"Polyester, Fully lined bodice, Slight stretch, Exposed back zipper, Removable padding",,s,0,,30.9,0,Tent,no
somerset,158.31,16.5,14.8,18.7,female,dress,dress183,VENICIA SLIT MIDI DRESS,black,"Slight Stretch, Elastic waistband, Elastic band at leg opening, Functional pockets",,m,0,2,34.9,0,Disappointed in the fit,no
somerset,181.66,13.8,0,0,female,top,top183,CELINE HIGH CUT RIBBED TOP,black,"Cotton Rib, None, Non sheer, Stretchable",,s,0,3,29.9,0,,no
bugis,178.53,13.5,0,0,female,top,top183,SAFFRON CROPPED KNIT BUTTON CARDIGAN,lilac,"Soft knit, Stretchable, Functional buttons",,s,0,,40.9,0,Pretty,no
somerset,163.42,16.6,14.3,18.5,female,dress,dress183,MARIE SATIN SLIT MIDI DRESS,gunmental,"Satin, Fully lined bodice, Non sheer, Adjustable straps",,m,0,2,29.9,0,,no
somerset,147.09,0,12.4,18.7,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,beige,"Soft knit, Stretchable, Functional buttons",,s,2,3,30.9,61.8,Love,yes
somerset,170.47,13.8,0,0,female,top,top183,ELAINE JERSEY CROPPED PULLOVER ,gingham,"Cotton jersery, slight stretch, Non sheer",gingham,s,4,3,35.9,143.6,Pretty print!!!,yes
somerset,166.95,17.2,14.4,19,female,dress,dress183,DESIRAE PEARL CHAIN SATIN COWL DRESS,lilac,"Satin, Fully lined, Non sheer, Slight stretch, Concealed back zipper, Functional pockets, Removable chain straps",,m,0,5,33.9,0,Wanted to like it,no
somerset,154.39,0,12.5,18.6,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,beige,"Soft knit, Stretchable, Functional buttons",,s,0,5,30.9,0,I wanted to love them,no
bugis,184.31,0,12.3,18.2,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,blush,"Soft knit, Stretchable, Functional buttons",,s,0,1,30.9,0,Pretty good!,no
somerset,165.2,18.7,0,0,male,top,top183,PIERRE LONG SLEEVED BUTTON SHIRT,white,"Polyester, Functional buttons, Functional wrist buttons",,m,0,2,35.9,0,,no
somerset,153.54,17.3,14.8,18.8,female,dress,dress183,ORIANA TOGA RIBBED DRESS,gunmetal,"Cotton rib, Side Slit Detail",,m,0,3,30.9,0,Amazing dress,yes
somerset,155.04,13.3,0,0,female,top,top183,PHOEBE SWEETHEART BUTTON TOP (SLEEVE),pink,"Polyester, Fully lined bodice, Non sheer , Slight stretch, Concealed back zipper, Non functional buttons",,s,0,3,24.9,0,Lampshade,no
somerset,169.36,0,15.7,21.6,male,bottom,bottom183,THOMAS DENIM BASIC BERMS,brown,"Polyester, Fake Pockets, Non-Stretchable",,l,0,4,30.9,0,,no
somerset,147.94,16.8,15,19.2,female,dress,dress183,ESTHER SWEETHEART CHIFFON MIDI DRESS,floral,"Chiffon, Fully lined, Non sheer, No stretch, Concealed back zipper, Concealed front slit zipper, Adjustable straps",,m,0,,30.9,0,Beautiful pattern and nice fit!,yes
somerset,163.11,0,15.9,20.5,male,bottom,bottom183,THOMAS DENIM BASIC BERMS,brown,"Polyester, Fake Pockets, Non-Stretchable",,m,0,3,30.9,0,Worn often and loved every time,no
somerset,149.89,17,14.7,18.5,female,dress,dress183,VENICIA SLIT MIDI DRESS,black,"Slight Stretch, Elastic waistband, Elastic band at leg opening, Functional pockets",,m,0,1,34.9,0,Zipper is defective,no
club street,149.61,17.1,14.3,18.9,female,dress,dress183,ESTHER SWEETHEART CHIFFON MIDI DRESS,floral,"Chiffon, Fully lined, Non sheer, No stretch, Concealed back zipper, Concealed front slit zipper, Adjustable straps",,m,0,2,30.9,0,"Great concept, poor execution",no
bugis,150.18,14.6,0,0,female,top,top183,ADORA BASIC PADDED CROP TOP,matcha,"Polyester, Fully lined bodice, Slight stretch, Exposed back zipper, Removable padding",,s,1,5,30.9,30.9,Short and boxy,yes
somerset,166.4,16.5,14.6,18.9,female,dress,dress183,DESIRAE PEARL CHAIN SATIN COWL DRESS,lilac,"Satin, Fully lined, Non sheer, Slight stretch, Concealed back zipper, Functional pockets, Removable chain straps",,m,3,3,33.9,101.7,,yes
club street,162.56,13.1,0,0,female,top,top183,GRETA BUTTON KNIT VEST TOP,white,"Knit, Non sheer, Functional buttons, Tortoise Shell Buttons Differ from Piece to Piece",,s,0,4,31.9,0,"Perfect fit, cute for summer",yes
club street,162.41,13.3,0,0,female,top,top183,ELAINE JERSEY CROPPED PULLOVER ,gingham,"Cotton jersery, slight stretch, Non sheer",gingham,s,0,2,35.9,0,Flowing comfort,no
club street,160.99,13.9,0,0,female,top,top183,MAXINE V-NECK LINEN CROP TOP,geometric print,"Made of Linen Material, Comes with Inner Lining, Concealed Back Zipper, Non-functional Buttons",,s,0,1,29.9,0,On the fence,no
somerset,183,0,12.1,18.3,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,blush,"Soft knit, Stretchable, Functional buttons",,s,0,2,30.9,0,Can't wait to wear this!,no
somerset,182.35,0,13,19.5,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,beige,"Soft knit, Stretchable, Functional buttons",,m,0,4,30.9,0,Buyer beware!,no
somerset,165.66,0,14.1,20.1,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,beige,"Soft knit, Stretchable, Functional buttons",,l,0,3,30.9,0,Fabulous fit; distressing will get more pronounced,no
club street,180.44,0,15.8,20.8,male,bottom,bottom183,THOMAS DENIM BASIC BERMS,beige,"Polyester, Fake Pockets, Non-Stretchable",,m,2,2,30.9,61.8,Beautiful garment,yes
club street,174.13,16.1,0,0,female,top,top183,GRETA BUTTON KNIT VEST TOP,white,"Knit, Non sheer, Functional buttons, Tortoise Shell Buttons Differ from Piece to Piece",,l,0,1,31.9,0,Sweet,no
somerset,152.73,0,12.3,19.2,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,blush,"Soft knit, Stretchable, Functional buttons",,m,0,4,30.9,0,Love these leggings!!!,no
somerset,161.57,0,12.8,18.4,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,blush,"Soft knit, Stretchable, Functional buttons",,s,1,5,30.9,30.9,Mixed feelings,yes
somerset,184.51,13.5,0,0,female,top,top183,ADORA BASIC PADDED CROP TOP,blue,"Polyester, Fully lined bodice, Slight stretch, Exposed back zipper, Removable padding",crop top,s,0,3,30.9,0,Gorgeous colors,no
somerset,160.08,0,14.8,19.4,male,bottom,bottom183,THOMAS DENIM BASIC BERMS,brown,"Polyester, Fake Pockets, Non-Stretchable",,s,2,3,30.9,61.8,Love these jeans!,yes
somerset,158.46,0,12.7,19.1,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,blush,"Soft knit, Stretchable, Functional buttons",,m,0,5,30.9,0,,yes
somerset,165.61,17.3,14.9,18.9,female,dress,dress183,MARIE SATIN SLIT MIDI DRESS,mocha,"Satin, Fully lined bodice, Non sheer, Adjustable straps",,m,1,2,29.9,29.9,Perfect ease,yes
bugis,163.79,0,14.1,20,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,beige,"Soft knit, Stretchable, Functional buttons",,l,0,3,30.9,0,Not so great,no
somerset,153.4,0,12.2,18.8,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,blush,"Soft knit, Stretchable, Functional buttons",,s,3,2,30.9,92.7,Awesome chinos,yes
bugis,180.2,17.3,14.1,19.2,female,dress,dress183,ANDRELLE PLAID SKORTS DRESS,plaid,"Polyester, Fully lined bodice, Non sheer, Slight stretch, Concealed back zipper, Functional pockets, Adjustable straps",,m,0,1,29.9,0,Amazing. read my info about sizing before ordering,no
somerset,177.04,14.7,0,0,female,top,top183,ELAINE JERSEY CROPPED PULLOVER ,gingham,"Cotton jersery, slight stretch, Non sheer",,s,0,3,35.9,0,"Um, perfect if you have toothpicks for arms",yes
bugis,168.09,16.9,14.6,18.9,female,dress,dress183,MARIE SATIN SLIT MIDI DRESS,mocha,"Satin, Fully lined bodice, Non sheer, Adjustable straps",,m,0,2,29.9,0,Gorgeous dress,no
somerset,183.19,16.5,15,19,female,dress,dress183,MARIE SATIN SLIT MIDI DRESS,mocha,"Satin, Fully lined bodice, Non sheer, Adjustable straps",,m,2,2,29.9,59.8,"Cute, but cheap",yes
bugis,183.25,0,12.5,19.6,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,beige,"Soft knit, Stretchable, Functional buttons",,m,2,2,30.9,61.8,Nice length,yes
club street,163,13.3,0,0,female,top,top183,MAXINE V-NECK LINEN CROP TOP,geometric print,"Made of Linen Material, Comes with Inner Lining, Concealed Back Zipper, Non-functional Buttons",,s,1,5,29.9,29.9,Fabric looks cheap,yes
bugis,173.72,14.4,0,0,female,top,top183,PHOEBE SWEETHEART BUTTON TOP (SLEEVE),beige,"Polyester, Fully lined bodice, Non sheer , Slight stretch, Concealed back zipper, Non functional buttons",,s,0,,24.9,0,Perfect fit for broad shoulders,yes
club street,180.78,0,15.2,20.6,male,bottom,bottom183,THOMAS DENIM BASIC BERMS,brown,"Polyester, Fake Pockets, Non-Stretchable",,m,1,4,30.9,30.9,I love these pants,yes
